"","Junction","Vehicles","day","month","year","hour","weekday_num","workday","weekend","hour_inc"
"1",1,15,"01","11","2015","00","7",0,1,1
"2",1,13,"01","11","2015","01","7",0,1,2
"3",1,10,"01","11","2015","02","7",0,1,3
"4",1,7,"01","11","2015","03","7",0,1,4
"5",1,9,"01","11","2015","04","7",0,1,5
"6",1,6,"01","11","2015","05","7",0,1,6
"7",1,9,"01","11","2015","06","7",0,1,7
"8",1,8,"01","11","2015","07","7",0,1,8
"9",1,11,"01","11","2015","08","7",0,1,9
"10",1,12,"01","11","2015","09","7",0,1,10
"11",1,15,"01","11","2015","10","7",0,1,11
"12",1,17,"01","11","2015","11","7",0,1,12
"13",1,16,"01","11","2015","12","7",0,1,13
"14",1,15,"01","11","2015","13","7",0,1,14
"15",1,16,"01","11","2015","14","7",0,1,15
"16",1,12,"01","11","2015","15","7",0,1,16
"17",1,12,"01","11","2015","16","7",0,1,17
"18",1,16,"01","11","2015","17","7",0,1,18
"19",1,17,"01","11","2015","18","7",0,1,19
"20",1,20,"01","11","2015","19","7",0,1,20
"21",1,17,"01","11","2015","20","7",0,1,21
"22",1,19,"01","11","2015","21","7",0,1,22
"23",1,20,"01","11","2015","22","7",0,1,23
"24",1,15,"01","11","2015","23","7",0,1,24
"25",1,14,"02","11","2015","00","1",1,0,25
"26",1,12,"02","11","2015","01","1",1,0,26
"27",1,14,"02","11","2015","02","1",1,0,27
"28",1,12,"02","11","2015","03","1",1,0,28
"29",1,12,"02","11","2015","04","1",1,0,29
"30",1,11,"02","11","2015","05","1",1,0,30
"31",1,13,"02","11","2015","06","1",1,0,31
"32",1,14,"02","11","2015","07","1",1,0,32
"33",1,12,"02","11","2015","08","1",1,0,33
"34",1,22,"02","11","2015","09","1",1,0,34
"35",1,32,"02","11","2015","10","1",1,0,35
"36",1,31,"02","11","2015","11","1",1,0,36
"37",1,35,"02","11","2015","12","1",1,0,37
"38",1,26,"02","11","2015","13","1",1,0,38
"39",1,34,"02","11","2015","14","1",1,0,39
"40",1,30,"02","11","2015","15","1",1,0,40
"41",1,27,"02","11","2015","16","1",1,0,41
"42",1,27,"02","11","2015","17","1",1,0,42
"43",1,24,"02","11","2015","18","1",1,0,43
"44",1,26,"02","11","2015","19","1",1,0,44
"45",1,29,"02","11","2015","20","1",1,0,45
"46",1,32,"02","11","2015","21","1",1,0,46
"47",1,30,"02","11","2015","22","1",1,0,47
"48",1,27,"02","11","2015","23","1",1,0,48
"49",1,21,"03","11","2015","00","2",1,0,49
"50",1,18,"03","11","2015","01","2",1,0,50
"51",1,19,"03","11","2015","02","2",1,0,51
"52",1,13,"03","11","2015","03","2",1,0,52
"53",1,11,"03","11","2015","04","2",1,0,53
"54",1,11,"03","11","2015","05","2",1,0,54
"55",1,11,"03","11","2015","06","2",1,0,55
"56",1,14,"03","11","2015","07","2",1,0,56
"57",1,15,"03","11","2015","08","2",1,0,57
"58",1,29,"03","11","2015","09","2",1,0,58
"59",1,33,"03","11","2015","10","2",1,0,59
"60",1,32,"03","11","2015","11","2",1,0,60
"61",1,32,"03","11","2015","12","2",1,0,61
"62",1,29,"03","11","2015","13","2",1,0,62
"63",1,27,"03","11","2015","14","2",1,0,63
"64",1,26,"03","11","2015","15","2",1,0,64
"65",1,28,"03","11","2015","16","2",1,0,65
"66",1,26,"03","11","2015","17","2",1,0,66
"67",1,25,"03","11","2015","18","2",1,0,67
"68",1,29,"03","11","2015","19","2",1,0,68
"69",1,26,"03","11","2015","20","2",1,0,69
"70",1,24,"03","11","2015","21","2",1,0,70
"71",1,25,"03","11","2015","22","2",1,0,71
"72",1,20,"03","11","2015","23","2",1,0,72
"73",1,18,"04","11","2015","00","3",1,0,73
"74",1,18,"04","11","2015","01","3",1,0,74
"75",1,13,"04","11","2015","02","3",1,0,75
"76",1,13,"04","11","2015","03","3",1,0,76
"77",1,10,"04","11","2015","04","3",1,0,77
"78",1,12,"04","11","2015","05","3",1,0,78
"79",1,13,"04","11","2015","06","3",1,0,79
"80",1,11,"04","11","2015","07","3",1,0,80
"81",1,13,"04","11","2015","08","3",1,0,81
"82",1,22,"04","11","2015","09","3",1,0,82
"83",1,26,"04","11","2015","10","3",1,0,83
"84",1,27,"04","11","2015","11","3",1,0,84
"85",1,31,"04","11","2015","12","3",1,0,85
"86",1,24,"04","11","2015","13","3",1,0,86
"87",1,23,"04","11","2015","14","3",1,0,87
"88",1,26,"04","11","2015","15","3",1,0,88
"89",1,26,"04","11","2015","16","3",1,0,89
"90",1,24,"04","11","2015","17","3",1,0,90
"91",1,23,"04","11","2015","18","3",1,0,91
"92",1,25,"04","11","2015","19","3",1,0,92
"93",1,26,"04","11","2015","20","3",1,0,93
"94",1,24,"04","11","2015","21","3",1,0,94
"95",1,26,"04","11","2015","22","3",1,0,95
"96",1,24,"04","11","2015","23","3",1,0,96
"97",1,19,"05","11","2015","00","4",1,0,97
"98",1,20,"05","11","2015","01","4",1,0,98
"99",1,18,"05","11","2015","02","4",1,0,99
"100",1,13,"05","11","2015","03","4",1,0,100
"101",1,13,"05","11","2015","04","4",1,0,101
"102",1,9,"05","11","2015","05","4",1,0,102
"103",1,12,"05","11","2015","06","4",1,0,103
"104",1,12,"05","11","2015","07","4",1,0,104
"105",1,15,"05","11","2015","08","4",1,0,105
"106",1,16,"05","11","2015","09","4",1,0,106
"107",1,23,"05","11","2015","10","4",1,0,107
"108",1,24,"05","11","2015","11","4",1,0,108
"109",1,25,"05","11","2015","12","4",1,0,109
"110",1,24,"05","11","2015","13","4",1,0,110
"111",1,26,"05","11","2015","14","4",1,0,111
"112",1,22,"05","11","2015","15","4",1,0,112
"113",1,20,"05","11","2015","16","4",1,0,113
"114",1,20,"05","11","2015","17","4",1,0,114
"115",1,22,"05","11","2015","18","4",1,0,115
"116",1,26,"05","11","2015","19","4",1,0,116
"117",1,22,"05","11","2015","20","4",1,0,117
"118",1,21,"05","11","2015","21","4",1,0,118
"119",1,21,"05","11","2015","22","4",1,0,119
"120",1,21,"05","11","2015","23","4",1,0,120
"121",1,16,"06","11","2015","00","5",1,0,121
"122",1,18,"06","11","2015","01","5",1,0,122
"123",1,19,"06","11","2015","02","5",1,0,123
"124",1,14,"06","11","2015","03","5",1,0,124
"125",1,12,"06","11","2015","04","5",1,0,125
"126",1,13,"06","11","2015","05","5",1,0,126
"127",1,14,"06","11","2015","06","5",1,0,127
"128",1,14,"06","11","2015","07","5",1,0,128
"129",1,13,"06","11","2015","08","5",1,0,129
"130",1,20,"06","11","2015","09","5",1,0,130
"131",1,22,"06","11","2015","10","5",1,0,131
"132",1,26,"06","11","2015","11","5",1,0,132
"133",1,26,"06","11","2015","12","5",1,0,133
"134",1,21,"06","11","2015","13","5",1,0,134
"135",1,23,"06","11","2015","14","5",1,0,135
"136",1,23,"06","11","2015","15","5",1,0,136
"137",1,19,"06","11","2015","16","5",1,0,137
"138",1,19,"06","11","2015","17","5",1,0,138
"139",1,20,"06","11","2015","18","5",1,0,139
"140",1,24,"06","11","2015","19","5",1,0,140
"141",1,18,"06","11","2015","20","5",1,0,141
"142",1,19,"06","11","2015","21","5",1,0,142
"143",1,16,"06","11","2015","22","5",1,0,143
"144",1,17,"06","11","2015","23","5",1,0,144
"145",1,16,"07","11","2015","00","6",0,1,145
"146",1,16,"07","11","2015","01","6",0,1,146
"147",1,10,"07","11","2015","02","6",0,1,147
"148",1,9,"07","11","2015","03","6",0,1,148
"149",1,8,"07","11","2015","04","6",0,1,149
"150",1,7,"07","11","2015","05","6",0,1,150
"151",1,9,"07","11","2015","06","6",0,1,151
"152",1,8,"07","11","2015","07","6",0,1,152
"153",1,12,"07","11","2015","08","6",0,1,153
"154",1,13,"07","11","2015","09","6",0,1,154
"155",1,17,"07","11","2015","10","6",0,1,155
"156",1,14,"07","11","2015","11","6",0,1,156
